title,content,type
Love,"I love you so deeply 
I love you so much 
I love the sound of your voice 
And the way we used to touch 

I love your kind and thoughtful ways 
And the joy you bring to my life every day 
I love you today as I have from the start 
I'll love you forever with all my heart.",Love
Could You Be The One?,"It feels good to be in your arms, 
to feel the warmth of your touch. 
I love to look into your beautiful eyes, 
to see how much you care. 
It feels good to have someone like you 
to think about every day. 
I love to take long walks with you, 
to hold your hand every step of the way.",Love
My Heart,"My Heart is something that gives me life 
My Heart feeds and nurtures as if it were my wife 
My Heart is kind and loving down to the last drop 
My Heart keeps me going not wanting to stop 
My Heart has a pulse to it unlike anything in this universe 
My Heart gives me strength in the hardest traverse 
My Heart gives me structure in such an unstructured place 
My Heart beats at an insurmountable pace 
My Heart bonds me together so that nothing could tear it apart 
My Heart is something I loved right from the start 
You Yes!!!! You. Are My Heart",Love
I Want To,"I want to kiss your reddish lips 
I want to touch your rosy cheeks 
I want to hear your lovely voice 
Although it can make a loud noise 

I will forget all my sorrow 
Just to be with you tomorrow 
Thinking you're always beside me 
Hoping that you'll never leave me ",Love
A Short Love Affair,"There is a beautiful world where I can see your face, 
It exists only between time and space 
Time shreds space like worn out fashion, 
And leaves us desperate for our precious compassion 
Space consumes time without our consent, 
And hides the reality that our dreams were once spent 
Our love is regained when we meet in between 
And there we can dance again in our dream",Love
The Taste,"Pour the wine slowly 
Let it linger in the glass 

Lift the glass so lightly 
On your lips let it pass 

The taste of my passion 
Feel it warm when you sip 

This kiss will be forever 
As it flows across your lip",Love
You And Me,"You and me are one of a kind, 
You and me are a perfect kind. 
We can't do everything forever, 
But I wish we could do everything together. 
You and me can do it, 
If we put our hearts into it.",Love
Green Eyes,"Drowning my heart with his eyes, 
Conjuring passion that never dies, 
So irresistible the pair of green, 
Engraved on my mind a beautiful scene, 
Bright, serene and filled with mystery, 
Amazing how it sparks the chemistry, 
Merely gazing at them makes me cheer, 
Gives me hope and sets my mind clear, 
Brilliance glaring from the mellow iris, 
Looking through them is truly a bliss.",Love
For Though I Know She Loves Me,"For though I hope she loves me 
For she has kissed my mouth 
Thought I am like a stricken bird 
who cannot reach the south. 

Tonight I know she loves me 
And my heart is very glad 
for her kiss was just as wonderful 
As all the dreams I've had",Love
The One I Love,"I know I have an angel. 
She was sent from heaven above 
To protect me every day 
And give me lots of love. 

She's there when I'm lonely. 
She sits by me when I cry. 
She encourages me when I'm down 
And makes me want to try.",Love
Eye Of Fire,"Your eyes are fire. 
Their image burnt into my soul, 
Scarred by beauty. ",Love
The Patience Of A Heart,"Love takes time.
It takes patience
to find the one,
to find him,
to find forever.
The heart may get broken,
but never give up.
The patience of a heart
is so beautiful.",Love
Sacrifices Of Love,"Love makes us strong.. 
then makes us weak, 
Love makes us see.. 
then makes us blind, 
Love makes us able.. 
then makes us disable, 
We want love.. 
but don't always need it.",Love
Your Kiss,"Your kiss is like a cloud, 
So soft upon my cheek, 
and though I never say it, 
and show it in any way, 
I love you till this very day",Love
IT IS HERE,"What sound was that? 

I turn away, into the shaking room. 

What was that sound that came in on the dark? 
What is this maze of light it leaves us in? 
What is this stance we take, 
To turn away and then turn back? 
What did we hear? 

It was the breath we took when we first met. 

Listen. It is here.",Love
ECHO,"I think I was searching for treasures or stones 
in the clearest of pools 
when your face 

when your face, 
like the moon in a well 
where I might wish 

might well wish 
for the iced fire of your kiss; 
only on water my lips, where your face 

where your face was reflected, lovely, 
not really there when I turned 
to look behind at the emptying air 

the emptying air.",Love
A LOVE SONG FOR LUCINDA,"Love 
Is a ripe plum 
Growing on a purple tree. 
Taste it once 
And the spell of its enchantment 
Will never let you be. 

Love 
Is a bright star 
Glowing in far Southern skies. 
Look too hard 
And its burning flame 
Will always hurt your eyes. 

Love 
Is a high mountain 
Stark in a windy sky. 
If you 
Would never lose your breath 
Do not climb too high.",Love
DEFEATED BY LOVE,"The sky was lit 
by the splendor of the moon 

So powerful 
I fell to the ground 

Your love 
has made me sure 

I am ready to forsake 
this worldly life 
and surrender 
to the magnificence 
of your Being",Love
LOVE IS A PLACE,"love is a place 
& through this place of 
love move 
(with brightness of peace) 
all places 

yes is a world 
& in this world of 
yes live 
(skilfully curled) 
all worlds",Love
The Lake,"As she stares down upon the lake 
her eyes fill with tears 
wondering how long she can wait 
the breeze blows ever so lightly 
and warms her of his touch 
and how she loves him oh so much ",Love
This Morning,"This passionate morning 
I wake up with 
Your feminine body 
With your seductive eyes 
with your soft kisses 
saying I love you. 
This passionate morning 
I am hoping you 
could write your 
immense love in my 
lips. ",Love
Reflections of a Beautiful Morning,"The sun rises above the hillcrest, 
As does the joy of my heart; 
Rays of warmth and love, 
From her I will never depart. 

Fresh dew upon the grass, 
Young birds chirp in their nests; 
I watch her gently sleep, 
My love to her I silently profess. 

I enjoy the stillness and calm, 
Watching as she smiles and dreams; 
She brings me to stillness and peace, 
Like that of a slow flowing stream. 

My heart and soul flow with love, 
And I smile as I quietly reflect; 
I've been handed a sweet princess, 
A sweet princess to love and to protect. 

A vow to myself I make, 
As she quietly sleeps away; 
To love and always cherish her, 
Until my last breath... until my last day",Love
A Dream Come True,"Feelings that once were hidden 
Are now expressed to you. 
Days that once were stormy 
Are now the brightest blue. 

Times that once were lonely 
Are now filled with pleasure. 
All that once was mine alone 
Are now things we both treasure. 

Nights that once were cold 
Are now comforting and warm. 
Fears that once were very real 
Are now gone with the storm. 

A heart that once was broken 
Can now finally mend. 
A person once alone in life 
Can now call you a friend. 

Dreams that once were longed for 
Are now all coming true. 
The love I once thought was gone 
I have now and forever in you.",Love
A Thousand Fair Suitors,"A thousand fair suitors all stab at your heart 
Those poets of movement and jockeys of art 
The high-volume vendors who hustle romance 
Splashing their canvas with color and dance 

The blasters of trumpets, gold banners unfurled 
They offer lush gardens in glistening worlds 
Yes, bearers of torches and carvers of stone 
Who whisper their sonnets and surrender their thrones 

And there in your doorway, no shadow is cast 
No lingering voices, no ghosts from the past 
Just a cluster of walls, and a window of pain 
Collecting the heartache like droplets of rain 

Still I stand before you, with palms to the sky 
No gold in my pocket, no thorn in my side 
And all I can offer, where words have no place 
Is a body that trembles, and this love that awaits",Love
You Are My Forever Love,"Your friendship and love, 
And all the wonderful things 
That they bring into my life, 
Are like nothing else 
I have ever known. 

My heart is complete 
With the love we share, 
And our love grows more 
Beautiful each day. 

I love you, 
And as long as we are together, 
I have everything I need. 

You are with me always... 
In a smile, a memory, a feeling 
Or a moment we share. 

You will always be 
My Forever Love",Love
Live with your love,"You have always been the wings that will always fly me to safety. 
I want to travel to the moon and look down on earth only with you. 
All the silly adventures in my head can be best done with you. 
Every day I live, I pray to live with your love and when I sleep, I pray to dream of you. 
You have been the one special thing in my world.",Love
I find fulfillment in you,"If I call you my heart, my soul would get jealous. 
If I call you my soul, my body won t be happy either. So I call you my life because in every way. 
You have touched every part of me. My one true love, all your sweet doings still rings in my mind. 
With you, I find fulfillment and completeness. Now I know that I was meant to be with you forever.",Love
A long time ago,"Pin the sweet words I say to you on your heart and remember them when you miss me. 
For me, the search for someone to love ended a long time ago, because I have you. 
I make this promise to you my sweetness, to love you more than anyone has ever done. 
I pray to share a wonderful future with you.",Love
You Are Poetry,"You come outside 
To view the faint sunset 
Light bewildered by trees 
Shines through quietly 
You glide your soft auburn hair 
Perched behind your ear 
And in this moment I feel at home 
Beneath the interior 
You are my humble abode... 
Your company is soothing 
Calming and reassuring 
Inside, the wind chimes ring 
You saunter and my hearts sings 
Bit by bit I begin to recognize 
The enchanting glow in your subtle eyes 
Hidden in all abstract paintings 
It's you; what all artists see 
You are poetry",Love
MARRIED LOVE,"You and I 
Have so much love, 
That it 
Burns like a fire, 
In which we bake a lump of clay 
Molded into a figure of you 
And a figure of me. 
Then we take both of them, 
And break them into pieces, 
And mix the pieces with water, 
And mold again a figure of you, 
And a figure of me. 
I am in your clay. 
You are in my clay. 
In life we share a single quilt. 
In death we will share one bed.",Love
Love You,"I love you with a permanence 
That endures the passing years. 
I love you with a joyfulness 
That subdues all doubts and fears. 
I love you with an honesty 
That was born within my heart. 
I love you with the calm belief 
That we will never part. 
I love you with a confidence 
No earthly force can sever. 
I love you with the certainty 
That I'll cherish you forever. 
I love you with the humbleness 
Of one who has been blessed. 
I love you with the reverence 
Of all that word suggests. 
I love you with a fervor 
That time cannot reverse. 
I love you with the truest love 
That poets put to verse.",Love
Soul Like The Vastest Sea,"Your soul is like the vastest sea 
And mine a darting fish: 
I lose myself within your love; 
I live within your heart. 

I breathe your love: it is my air, 
My element, my world. 
I know no other ambiance; 
I have no other dream. 

I know there is outside your love 
A world of rocks and sand; 
And I could live there, too, but oh! 
How poor and thin each breath! 

How rich my world, how beautiful, 
Alive within your love, 
Each moment filled with dancing light 
Refracted through your eyes!",Love
cherished friend,"I love you like I love a day 
when everything goes right 
I love you like I love to lay 
and watch the stars at night 
I love you like I love the rain 
its lustful calm embrace 
I love you like I love to laugh 
until it hurts my face 
I love you like I love to drive 
with no real destination 
I love you like I love the thrill 
of pure infatuation 
But most of all I love you like 
I love a cherished friend 
Who holds me tight, dries my tears 
and loves me to the end",Love
Sunshine,"When I wake up in the morning 
Sunshine's falling on my skin 
And I call you up to tell you 
What a happy mood I'm in 

Feel the rhythm in my body 
And sing is all I wanna do 
I feel the day will bring me sunshine 
for it's another day with you",Love
If There's,"If there's one face I want to see, 
so beautiful, so true, 
one smile that makes a difference, 
to everything I do. 

If there's one touch I long to feel, 
one voice I long to hear, 
whenever I am happy, 
or just needing someone near. 

If there's one joy, one love, 
from which I never want to part, 
it's you, my very special love, 
my world, my life, my heart.",Love
three little words,"Just three little words 
don't seem like enough 
for someone whose smile 
still brightens my day, 
whose touch can make me forget 
the rest of the world. 

They don't seem like enough 
for someone who's always been there 
to celebrate with me 
when everything goes my way 
and to hold my hand 
when my whole world 
seems to fall apart. 

But even though ""I Love You"" 
can't express the depth 
of my feelings for you. 
I hope you know what's in my heart. 
Because loving you 
means more to me 
than anything in the world 
and it always will. ",Love
Dance Me To The End Of Love,"Dance with me in love 
Dance with me in life 
When did enduring love begin? 
The day we became man and wife 

There is patience and understanding 
We try to be unselfish and kind 
Though not a fairy-tale romance 
No greater love will we find 

Sharing dreams, passions, and desires 
Building each other up when we fall 
We've learned to say I'm sorry 
And I love you through it all 

Our two hearts beat as one 
Cherishing what we have from above 
Dance with me forever 
Dance me to the end of love",Love
Red Rose,"Our love is that of a red rose 
Whose splendor rises as the sun shows its face, 
Whose petals expand further and richer 
Whispering secrets of happiness and affection. 

And even though with the fall of dusk 
All contentment is swept away, 
And the rose's petals unite as one 
Reflecting any light that may endeavor to shine through, 
The sun will always rise 
And the rose's petals will eternally broaden 
Until they fully blossom into a stunning creation. 

Our love is that of a red rose 
Possessing a few imperfections 
That may cause evanescent wounds, 
But the internal radiance 
That will everlastingly bestow healing and comfort.",Love
The Golden Path,"Take my hand this way we'll go, 
Said the man above, 
I'll take you to a place of joy, 
Where you will find true love, 

If you let go, go on your own, 
But mistakes you will make, 
For many other ways there are, 
Which you are sure to take, 

When you feel that you are lost, 
All you have to do is pray, 
And I'll be there once again, 
To help you on your way, 

I did pray and just as said, 
He shined his light from above, 
That showed me the way down the golden path, 
That led me to your love.",Love
Healing Within,"Happiness is my veil, 
Emptiness in my heart.
Always carrying you within me,
Like you never left my side.
It never seems to fade away,
Not even for a minute.
Goodbye is not forever.",Death
My Memory Library,"Imagine if I was given one moment,
just a single slice of my past.
I could hold it close forever,
and that moment would always last.

I'd put the moment in a safe,
within my heart's abode.
I could open it when I wanted,
and only I would know the code.

I could choose a time of laughing,
a time of happiness and fun.
I could choose a time that tried me
through everything I've done.

I sat and thought about what moment
would always make me smile.
One that would always push me
to walk that extra mile.

If I'm feeling sad and low,
if I'm struggling with what to do,
I can go and open my little safe
and watch my moment through.

There are moments I can think of
that would lift my spirits every time.
The moments when you picked me up,
when the road was hard to climb.

For me to only pick one moment
to cherish, save and keep
is proving really difficult,
as I've gathered up a heap!

I've dug deep inside my heart,
found the safe and looked inside
There was room for lots of moments;
in fact, hundreds if I tried.

I'm building my own little library,
embedded in my heart,
for all the moments spent with you
before you had to part.

I can open it up whenever I like,
pick a moment and watch it through,
My little library acts as a promise
I'll never ever forget you.",Death
Cancer,"Since the day I saw you, 
since the day we met, 
I knew this I wouldn't forget. 
I have loved you more than life itself, 
now it seems were falling apart. 
This thing that just won't go away, 
was more then you could take. 
But I'll hold on tight past the very end... 
No matter how much it hurt, 
I sat and watched you get worse. 
I held your hand all through the night, 
never to let go. 
I wake up, and you were no longer here, 
I'm haunted by these memories of you and me, 
as a tear falls down my face I remember... 
You will be here holding my hand all through the night like I did yours, 
but most of all... 
you will always be in my heart.",Death
Light A Candle,"light a candle,
see it glow,
watch it dance,
when you feel low,
think of me,
think of light,
I'll always be here,
day or night,
a candle flickers,
out of sight,
but in your heart,
I still burn bright,
think not of sadness,
that I'm not near,
think of gladness,
and joyous cheer,
I have not left,
I am not gone,
I'm here to stay
my little one,
so when you light a candle
and you see it glow
and you watch it dance
in your heart you'll know
that I would never leave you
even when you feel so blue
I'm sitting up here with the Lord
and now watching over you",Death
Memories,"I feel a warmth around me,
like your presence is so near.
And I close my eyes to visualize
your face when you were here.
I endure the times we spent together,
and they are locked inside my heart
As long as I have those memories
we will never be apart.
Even though we cannot speak anymore,
my voice is always there,
because every night before I sleep,
I have you in my prayer.",Death
In Memory Of My Dad,"If I could write a story,
It would be the greatest ever told
Of a kind and loving father
Who had a heart of gold.

I could write a million pages
But still be unable to say just how
Much I love and miss him
Every single day.

I will remember all he taught me.
I'm hurt but won't be sad,
Because he'll send me down the answers,
And he'll always be my dad.",Death
Birthday Wishes To My Son In Heaven,"If I could have one wish in life,
That wish would have to be
That God would take away my pain
And send you back to me.

Your birthday's here today, my son,
And I just wanted you to know
How much I deeply love you
And that I miss you so.

On days like this we should celebrate,
But for me that now proves hard,
For unlike other mothers, I cannot send
A simple birthday card.

No kisses can I give you
Or birthday gifts to buy,
Only flowers I now can give you,
Which I place down where you lie.

Two other things I send you
Are my thoughts and all my love,
So hold them close and keep them safe
In Heaven up above.

And please wait for me, my darling
Until my days are through,
And then I'll come and spend all time
In Heaven just with you.",Death
"You're My Star, My Dear","The beam shines down,
The rays so bright,
The stars come forward,
At the dead of night.

I feel you close,
You're always here,
The glow of the sun,
You're my star, my dear.

An angel gained,
A distance apart,
Our friendship lives on,
A place in my heart.

I feel you close,
You're always here,
The glow of the sun,
You're my star, my dear.

A loss like this,
Won't heal too soon,
You light the sky,
The sun, the stars, the moon.

I feel you close,
You're always here,
The glow of the sun,
You're my star, my dear.",Death
My Darling Grandma,"A woman of extreme strength, courage and love,
Who was beautiful, soft and now peaceful and free as a dove.
Someone on who our admiration was built around,
For her womanhood, wife, friend and grandmother since she was brought into this ground. 

My Darling Grandma, we will forever hold in our hearts in which we have truly learned the most from, 
Your strength as a wonderful mother to our mothers and fathers, 
And which we hope to gain in raising your great grandsons and great granddaughters.

My darling grandma, we will always respect all you went through in your hardships and distinguished ways,
Your ability to hold yourself with such dignity and pride in all your days, 
Your beauty shines in us all who were lucky to be part of your devoted family,
We will carry you in our eyes, minds, and hearts in which we have a remedy,

My Darling Grandma, that is to hold you close by all you have taught us to do,
And to remember the beautiful women we owe our lives to,
For giving us life to blessing us with her strong inner spirit of courage,
Her unconditional love and her sensual laughter,
For being such a person in who will always and have always
held deep in our hearts now and here after.

My Darling Grandma, You are taking a little part of us with you as you follow your angels who will guide you to your
precious place,
May you look down on us with pride on what you brought
into this world with your guidance in which you are now 
truly our angel of grace.

My Darling Grandma, as you enter your new heavenly home,
may you rest in peace for which you truly deserve,
For you will be truly missed and remembered for your love and honor in which we will preserve.
We love you always and forever and may God be with you.",Death
Empty Chair,"The chair where you sat lies vacant and still.
The air so silent, through my body runs a chill,

The sound of your laughter echoes in my ears.
The teddy that you loved brings me close to tears.

Photos of you smiling are scattered on the wall.
The sense that you are here, as I walk through the hall.

An empty bed remains made just as it was that night.
Bedroom left alone, even though you're out of sight.

Your DVDs and music left untouched upon the shelf,
Some of which you didn't get to watch yourself.

The cup from which you drank tea alone behind the door,
Left abandoned like a friend not needed anymore.

I looked into the night sky on that fateful night.
I saw a star begin to flicker, like a fading light.

They say a star fades when a life comes to an end,
But for you God made an exception; that rule he did bend.

He reignited the flickering star so we can look above,
To see that star shining bright, showering us with love.

Stars may fade, but the light lives on somewhere.
Just because you can't see it, doesn't mean it isn't there.",Death
Happy Birthday In Heaven,"The very first month
Of each passing year
Brings up your birthday
Even though you're not here.

There are years that I smile
Seeing memories of you,
But sometimes it's hard
The whole day through.

I don't buy you gifts 
Or ice cream and cake.
I don't send invites;
There are no guests to thank.

Just as you liked it
When you were with us.
Not much on attention
Or making a fuss.

You'd give others presents
Instead of you.
God understood that
And knew what to do.

He put you together
With a kind heart.
He made you perfect
Right from the start.

You became the present
'Cause he knew how'd you'd be.
Even on YOUR birthday
You'd give the gifts to me.

Yet, it still seems ironic
That on the day of your birth
I got the best gift
With the most worth.

So on January second
Of every year,
I'm down on my knees
And fighting the tears.

I thank God for my gift
Of choosing you as my Dad.
You were the best father
I could have had.",Death
My Mother A Rose,"A rose so rare,
one of its kind, 
love and beauty a mother,
yes!
mine.
A rose without thorns,
not a petal was torn,
a perfect rose stood straight and tall,
my mother was the most precious of all.
A rose that survived the worst kind of weather and yet the most delicate ever,
a rose with a fragrance,
there could be know other,
you see this rose is my Mother.
A rose is picked and put to dry,
the beauty is still there,
it never dies.",Death
Daddy,"Your hands so warm
your voice so clear
I still remember your laughter
like yesterday had never gone
I miss your words of encouragement
words that kept me hanging on
now you're gone 
the tears keep flowing 
only hoping 
that one day the pain will fade
Daddy why did you have to go away
We love you and miss you
I know I will see again someday",Death
Wishful Dreams,"If I had one wish to make
I'd use it up on you.
Just to see you one more time
In the heavenly sky so blue
All I have are the memories
The good ones and the bad
The day you finally let it go
And left me more than sad
I wish that you could come back here
And fill back up this hole
You put it there years ago
When your body left your soul
You always made me feel special
You were always there it seems
But after all this is too big
It's only wishful Dreams",Death
My Dad,"My dad was a so very special father to me. 
He was so wonderful, gentle, friendly, great, loving and caring man to me.
He always made me happy and laugh. 
I sometimes do cry about my very precious daddy, 
because I do miss him so much and I sure do miss his hugs and him holding me in his arms to make me feel safe and calm.
I truly do miss being with my wonderful dad. 
He truly did and still does mean the whole world to me always.
I do miss him being there for me when I need him. 
I still do need my favorite daddy, but he is not with me now and I hope that my daddy is in the best place. 
I do think about my dad on his birthday and all holidays, and I truly can't stop thinking about him because I still love him so very much, and I never will stop loving my dad, not ever. 
My daddy and I were and still are very close to each other always. 
I do know that my daddy is with me in my heart and in my life always.",Death
Remember,"Yesterday life was so precious, so new
Filled with the promise
Of dreams to come true
Yesterday we held hands
And walked in the lane
Yesterday I asked you
To take my ring and my name
Yesterday we took our stroll down the aisle
Yesterday we married
We did it in style
Yesterday we had a daughter
We had a child, can this be true?
Yesterday we had a son
And now there are two.
Yesterday our daughter took our son by the hand
Helping him to walk, helping him to stand
Yesterday all of our parents
Were here and alive
Helping us along, helping us strive
Yesterday our grandparents
They were here too
Loving and laughing
Seeing us through
Yesterdays are such a very special time
Single days in a journey
All falling into line
And what do you think happens
When yesterdays are all through?
Why, we give them our blessings
And pass them all on to you.",Death
For Mom,"Look forward to tomorrow
Please don't be afraid
Don't fill it with sorrow
Because we had today

We may not have had enough time
But it was filled with joy
So don't spend the rest cryin'
What we have will not be destroyed

I hope you cherish these days
The way I surely have
And I hope you won't let them fade away
No matter how sad

Because I believe 
These are the best
No matter how bad the grief
We had better than the rest

So when I am gone 
I hope you will remember
That you were my number one
And my love for you will go on forever.",Death
A Fallen Branch,"The strongest branch has fallen 
From our family tree.
God had his way; he's taking me home,
So you need not grieve for me.

For many years God carried me
And kept me at my best.
He strengthened me and kept me strong.
For this we're truly blessed.

Hold strong to our family heritage.
Keep living your life through God.
Keep carrying on the traditions, 
The big ones and the small.

Remember all the good times,
The happiness and the love.
Think of me when you reminisce
As I'll be smiling from above.

My mind's at ease, my soul has peace.
My body's now at rest,
For an angel came for me today
And said God needs the best.

The serenity of going home is a miracle
We all shall seek,
So please don't think of me and cry
With a tear upon your cheek.

I've lived and traveled long and hard
To reach my journey's final end,
So let's just say, ""Goodbye for now,
Until we're together again.""",Death
Braveheart,"Aching hearts,
Endless wars,
Brave-heart warriors and falling stars.
They shine so bright, blinding our eyes, 
Yesterday we saw better things.
We cannot fight what we can't see. 
We cannot fight what we don't believe. 
Brave-heart warriors and falling stars.
Falling into their own swords.
Dear Brave-heart, 
You don't have to be brave anymore.",Death
Photographic Memories,"I went through all our old photographs
memories made over thirteen years

Pictures worth a million words
that bring my soul to tears.

I study each one carefully
replaying the memories in my mind

looking for clues of what the future would hold
and the heartache it would leave behind

Smiling children, visiting new places
a canoe trip, a wedding, the park

How could we have known that summer day at the Lake
how quickly our bright lives would turn dark

Birthday smiles and Christmas mornings
Putt Putt golf and a day at the beach

So carefree and not knowing how soon
happiness would be out of our reach

Our passage through life captured on paper
If not for the photos would soon disappear

Fade out of our minds like the love in our hearts
bittersweetly remembered through the years.",Death
I Remember,"Sitting under the old oak tree,
That my grandfather had planted early one spring,
I remember.
A blanket, hand sewn by my grandmother
Neatly spread out, covering the soft green grass beneath,
I remember.
Inhaling the sweet scent of Honeysuckle
Wrapped around an old worn out, rusty fence,
I remember.
Watching the dog and cat playing a game of chase,
Around the farm house
I remember.
Hearing my grandparents call out my name
As it was time for supper,
I remember.
Memories are all I have now,
They have passed and found their place in Heaven
I will always love them dearly and keep them in my heart.
I will never forget the times we shared because,
I remember",Death
Back To The Start,"Step into a memory, 
Of all the years that have passed.
Remember all the good times,
The ones locked in to last.
Sometimes your heart has broken,
All shattered, torn and sad,
Like when you lose a loved one,
The best friend you had.
But memories last a lifetime,
They are planted in your heart,
So look at all the sad things,
Then turn them to the start,
To the memory of the time that passed,
The times that made you laugh.",Death
Almost A Year,"The familiar sting of tears in my eyes
And the ripping pain in my heart.

It's been almost a year since the dreaded day 
That my whole entire world was ripped apart.

I didn't know the depth of my love 
And how I would miss you so.

The pain I feel is still as intense
As the very day I had to let you go.

So many thoughts and memories creep
Through my aching mind.

The answer to heal my grieving 
I fear I will never find.

Grandma, please don't be sad when you
Look down upon me from heaven above,

For the tears you see are from all 
The memories of you I love.",Death
His Decision,"Twins always are a joy,
One little girl and one bouncing boy.

Our parents were so cheerful and gay,
For they were going to meet us both one day.

However, God himself had another plan,
Mapped out before our lives began.

Tell me, what has happened to my other half?
Has he loved? Does he laugh?

Now I am living without a brother, 
And I cannot help but wonder:

How did God choose?
One to keep and one to lose.

In memory of the twin brother I never had the chance to meet.",Death
The Memory Of My Dad,"The memory of your bear hugs
The memory of your loving brown eyes
The memory of our Father-Daughter dances
The memory of your warming smile
The memory of all the warm summer nights
The memory of your love 
The memory of your laughter
The memory of your big heart 
The memory of all the family trips
The memory of spring break in Vegas
The memory of having the time of our lives
The memory of looking into your eyes and
all my problems disappearing.
The memory of our last goodbye and our last I love you.
But the best memory we shared was the time we spent together between our first Hello and our last Goodbye that will never be forgotten.",Death
To My Parents,"A day does not go by without thinking of you.
I think of the past and I feel happy and sad.
You both worked hard to take care of us.
My three brothers and I had fun growing up.

I grew up, fell in love and got married.
I was busy with my everyday routine.
Taking care of the house, my husband and son.
The years started to go by so fast.

Before I knew it you were both very old.
I wished I had spent more time with you.
You gave all your time, love and care to us.
But I was too busy to even visit you two.

Now that both of you are dead and buried,
I visit your grave and think of the past.
What I would not give to see you again.
I wish I could go back to the past.

I would spend every day with you two.
I would give you my time and my care.
To make sure that you were happy and well.
Just like you did with my brothers and me.",Death
Missing You,"Missing all the laughs we've had, and all the tears we've cried.
Missing all your hugs that tucked me in at night. 
Missing all the midnight shows, like The Twilight Zone. 
Missing all the special times that bonded us so close.",Death
Daddy's Little Girl,"Waiting patiently to enter the bathroom. 
The doorknob at my eye level...finally unlocks. 
Daddy lets me in...knowing...I don't need to be in there. 
I just want to be in there, with HIM. 
He wipes the misty mirror to see. 
His Daddy smell is all in the steam, 
from his soap on a rope that we got him for Christmas. 
I watch in silent anticipation. 
He shaves, then rinses the last of the fluffy white cream from his face. 
He picks up the bottle from the shelf (the one with the ship on it)
that came with the soap on a rope that we got him for Christmas. 
He splashes the aftershave with slaps and taps all over his face. 
He leans down for me to inspect and I place an approving kiss on it.
Old Spice, nothing smells like it. 
Now, I'm grown and alone, in the store, shopping for Christmas. 
I get a whiff, from an old man standing by. 
I want to cry and I want to buy some soap on a rope, 
with the bottle with the ship on it. 
I want my Daddy back alive. 
I want to, again to be that size. 
The little girl, eye level to the doorknob. 
I take a moment. 
Just one more sniff.
So I can walk away with my memories of,
Daddy's smell and Daddy's Little Girl!",Death
A Mother's Touch,"Lay down my little angel
I will rock you to sleep
Close your eyes my little angel,
And don't make a peep.
She holds you close or so you think;
Until you awake and her touch is a dream.

What happened to the warmth, her hands used to bring.
What happened to the mellow, her sweet voice used to sing.
What happened to the smell, her perfume left behind?
What happened to the kiss, she left on my forehead.
What happened to the prayer, she said before bed.

Was it just a dream or long, long ago?
Maybe a year or three.
I guess I will never know.

Will I ever feel her touch?
Will I ever see her smile?
Will she ever kiss my forehead?
Will she ever pray with me just before bed?

Am I her little angel or was it just a dream?
Am I her little angel or so it seemed?",Death
Where Did You Go?,"Are you at the park?
Are you home, maybe you're in heaven or 
In my heart 
I can feel you 
I can feel your love 
I miss you why did you go 
Did I do something wrong 
Did I say something wrong
I know you love me 
And I will try to hold on with your love in my heart
Mommy I found you!",Death
Sometimes,"Sometimes I catch a glimpse,
In softened waves of blue,
My child, my heart ...when I see a smile,
I can't help but think of you.

Sometimes these waves fill oceans.
And feelings string on every shore,
A collections of each memory
And every way I wish for more.

Sometimes I watch for answers
Because each day I call to you.
I ask for faith and courage
And strength...to help me through.

Sometimes I ask for bravery
Like dolphins in the deep,
Because time moves oh so slowly,
And sometimes the road is steep.

Sometimes I want to scream.
This was not what I had planned.
Why you ever suffered,
A mom can't understand.

Sometimes I hear your laughter
And remember you at play,
But My Child I always miss you.
Not sometimes, but every day.",Death
My Mask,"Every morning I wake up and put on a mask.
The mask makes everything seem all right,
But they don't know I cry at night.
The nightmares just won't go away.
If only I knew it was your last day.
For six years I've felt this pain.
The feeling just won't go away.
Everyone thinks I've dealt with your death the best,
But without this mask I'd be a mess.",Death
You Live Daddy!,"I stand alone with you in my mind
Your words taught me how to survive
Your strength never let me down
Now you're gone
I won't disappoint you daddy
But my tears will remain in my eyes
My heart will hurt forever
Sorry I never told you what you deserved
You cared for me and I took you for granted
You live alive in my heart
Thank you for loving me from the start",Death
A Prayer For Mama,"My dear sweet heavenly father, I come to you today
with faith and hope; I ask, send an angel Mama's way.
I know her time is near and soon you'll take her home
to stroll across the streets of gold where other angels roam.
It's hard to watch her suffer and slowly fade away.
Help me, God, to understand; give me strength, I pray.
She means so much to all of us; forgive me for my fears.
Life will never be the same without her presence here.
My mother is my angel; she taught me how to love
and told me about you, Lord, and heaven up above.
When she crosses over and steps into the light,
tell her that I love her and when the time is right,
meet me at the pearly gates where everything's brand new.
We'll walk across God's meadow lands where skies are always blue.
Somewhere beyond the sunset every now and then,
I pray she watches over me until we meet again.",Death
